FA-DOMID,FA-PDBID,FA-PDBREG,FA-UNIID,FA-UNIREG,SF-DOMID,SF-PDBID,SF-PDBREG,SF-UNIID,SF-UNIREG,SCOPCLA,TP,CL,CF,SF,FA,len,counts
8045703.0,3H8D,C:1143-1264,Q64331,1143-1264,8091604.0,3H8D,C:1143-1264,Q64331,1143-1264,"TP=1,CL=1000003,CF=2001470,SF=3002524,FA=4004627",1.0,1000003.0,2001470.0,3002524.0,4004627.0,122.0,2
8094330.0,6J56,A:1158-1282,Q9UM54,1167-1291,8094331.0,6J56,A:1158-1282,Q9UM54,1167-1291,"TP=1,CL=1000003,CF=2001470,SF=3002524,FA=4004627",1.0,1000003.0,2001470.0,3002524.0,4004627.0,115.0,2
8045706.0,5HUQ,A:2-424,F9USS9,2-424,8091607.0,5HUQ,A:37-272,F9USS9,37-272,"TP=1,CL=1000002,CF=2001471,SF=3002525,FA=4004630",1.0,1000002.0,2001471.0,3002525.0,4004630.0,423.0,3
8045707.0,2YJG,A:2-426,D9TQ02,2-426,8091609.0,2YJG,A:37-272,D9TQ02,37-272,"TP=1,CL=1000002,CF=2001471,SF=3002525,FA=4004630",1.0,1000002.0,2001471.0,3002525.0,4004630.0,418.0,3
8045708.0,4NAR,A:4-423,Q9WYS3,4-423,8091611.0,4NAR,A:10-262,Q9WYS3,10-262,"TP=1,CL=1000002,CF=2001471,SF=3002525,FA=4004630",1.0,1000002.0,2001471.0,3002525.0,4004630.0,411.0,3
8019846.0,1J2M,A:1-99,O18734,22-120,8032226.0,1J2M,A:1-99,O18734,22-120,"TP=1,CL=1000000,CF=2000736,SF=3001157,FA=4002373",1.0,1000000.0,2000736.0,3001157.0,4002373.0,99.0,1
8045706.0,5HUQ,A:2-424,F9USS9,2-424,8091608.0,5HUQ,A:278-419,F9USS9,278-419,"TP=1,CL=1000002,CF=2000683,SF=3002526,FA=4004630",1.0,1000002.0,2000683.0,3002526.0,4004630.0,423.0,3
8045707.0,2YJG,A:2-426,D9TQ02,2-426,8091610.0,2YJG,A:278-420,D9TQ02,278-420,"TP=1,CL=1000002,CF=2000683,SF=3002526,FA=4004630",1.0,1000002.0,2000683.0,3002526.0,4004630.0,418.0,3
8045708.0,4NAR,A:4-423,Q9WYS3,4-423,8091612.0,4NAR,A:269-416,Q9WYS3,269-416,"TP=1,CL=1000002,CF=2000683,SF=3002526,FA=4004630",1.0,1000002.0,2000683.0,3002526.0,4004630.0,411.0,3
8025639.0,1OZJ,A:7-132,P84022,7-132,8038018.0,1OZJ,A:7-132,P84022,7-132,"TP=1,CL=1000003,CF=2000735,SF=3001158,FA=4002374",1.0,1000003.0,2000735.0,3001158.0,4002374.0,126.0,10
8083633.0,5X6G,B:11-133,P97454,11-133,8083634.0,5X6G,B:11-133,P97454,11-133,"TP=1,CL=1000003,CF=2000735,SF=3001158,FA=4002374",1.0,1000003.0,2000735.0,3001158.0,4002374.0,123.0,10
8083635.0,3KMP,A:9-132,P70340,9-132,8083636.0,3KMP,A:9-132,P70340,9-132,"TP=1,CL=1000003,CF=2000735,SF=3001158,FA=4002374",1.0,1000003.0,2000735.0,3001158.0,4002374.0,124.0,10
8083637.0,5NM9,A:9-130,B3S7S5,9-130,8083638.0,5NM9,A:9-130,B3S7S5,9-130,"TP=1,CL=1000003,CF=2000735,SF=3001158,FA=4002374",1.0,1000003.0,2000735.0,3001158.0,4002374.0,122.0,10
8083639.0,5MF0,B:14-138,Q13485,14-138,8083640.0,5MF0,B:14-138,Q13485,14-138,"TP=1,CL=1000003,CF=2000735,SF=3001158,FA=4002374",1.0,1000003.0,2000735.0,3001158.0,4002374.0,125.0,10
8083641.0,3QSV,A:10-138,P97471,10-138,8083642.0,3QSV,A:10-138,P97471,10-138,"TP=1,CL=1000003,CF=2000735,SF=3001158,FA=4002374",1.0,1000003.0,2000735.0,3001158.0,4002374.0,129.0,10
8093889.0,6H3R,A:10-170,B7Z5N5,10-140,8093890.0,6H3R,A:10-170,B7Z5N5,10-140,"TP=1,CL=1000003,CF=2000735,SF=3001158,FA=4002374",1.0,1000003.0,2000735.0,3001158.0,4002374.0,119.0,10
8094720.0,6FZT,A:5-135,O15198,8-138,8094721.0,6FZT,A:5-135,O15198,8-138,"TP=1,CL=1000003,CF=2000735,SF=3001158,FA=4002374",1.0,1000003.0,2000735.0,3001158.0,4002374.0,131.0,10
8094776.0,6TBZ,A:9-135,Q56I99,12-135,8094777.0,6TBZ,A:9-135,Q56I99,12-135,"TP=1,CL=1000003,CF=2000735,SF=3001158,FA=4002374",1.0,1000003.0,2000735.0,3001158.0,4002374.0,127.0,10
8094778.0,6FZS,B:10-136,Q99717,10-136,8094779.0,6FZS,B:10-136,Q99717,10-136,"TP=1,CL=1000003,CF=2000735,SF=3001158,FA=4002374",1.0,1000003.0,2000735.0,3001158.0,4002374.0,127.0,10
8045713.0,3MAY,B:40-132,O53654,41-133,8091614.0,3MAY,B:40-132,O53654,41-133,"TP=1,CL=1000000,CF=2001472,SF=3002527,FA=4004634",1.0,1000000.0,2001472.0,3002527.0,4004634.0,93.0,1
8020308.0,1VR4,A:1-103,Q81H14,1-103,8032688.0,1VR4,A:1-103,Q81H14,1-103,"TP=1,CL=1000003,CF=2000724,SF=3001160,FA=4003633",1.0,1000003.0,2000724.0,3001160.0,4003633.0,103.0,9
8031894.0,1Y2I,A:1-107,Q83LS2,1-107,8044272.0,1Y2I,A:1-107,Q83LS2,1-107,"TP=1,CL=1000003,CF=2000724,SF=3001160,FA=4003633",1.0,1000003.0,2000724.0,3001160.0,4003633.0,104.0,9
