FA-DOMID,FA-PDBID,FA-PDBREG,FA-UNIID,FA-UNIREG,SF-DOMID,SF-PDBID,SF-PDBREG,SF-UNIID,SF-UNIREG,SCOPCLA,TP,CL,CF,SF,FA,len
8045703.0,3H8D,C:1143-1264,Q64331,1143-1264,8091604.0,3H8D,C:1143-1264,Q64331,1143-1264,"TP=1,CL=1000003,CF=2001470,SF=3002524,FA=4004627",1.0,1000003.0,2001470.0,3002524.0,4004627.0,122.0
8094330.0,6J56,A:1158-1282,Q9UM54,1167-1291,8094331.0,6J56,A:1158-1282,Q9UM54,1167-1291,"TP=1,CL=1000003,CF=2001470,SF=3002524,FA=4004627",1.0,1000003.0,2001470.0,3002524.0,4004627.0,115.0
8017835.0,3FKQ,A:1-116,D0VX10,1-116,8017836.0,3FKQ,A:1-116,D0VX10,1-116,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003986",1.0,1000002.0,2000016.0,3001156.0,4003986.0,114.0
8021315.0,1XHF,A:2-122,P0A9Q1,2-122,8033695.0,1XHF,A:2-122,P0A9Q1,2-122,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,117.0
8021787.0,1Y7P,B:79-215,O28869,79-215,8034167.0,1Y7P,B:79-215,O28869,79-215,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4002481",1.0,1000002.0,2000016.0,3001156.0,4002481.0,137.0
8021931.0,1JBE,A:2-129,P0AE67,2-129,8034311.0,1JBE,A:2-129,P0AE67,2-129,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,126.0
8022184.0,1YIO,A:3-130,O30989,3-130,8034564.0,1YIO,A:3-130,O30989,3-130,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,128.0
8022194.0,1P2F,A:3-120,Q9WXY0,3-120,8034574.0,1P2F,A:3-120,Q9WXY0,3-120,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,116.0
8022532.0,1YS6,B:7-127,P9WGM1,7-127,8034912.0,1YS6,B:7-127,P9WGM1,7-127,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,121.0
8023273.0,1ZGZ,A:2-121,P38684,2-121,8035653.0,1ZGZ,A:2-121,P38684,2-121,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,117.0
