FA-DOMID,FA-PDBID,FA-PDBREG,FA-UNIID,FA-UNIREG,SF-DOMID,SF-PDBID,SF-PDBREG,SF-UNIID,SF-UNIREG,SCOPCLA,TP,CL,CF,SF,FA
8060230.0,5HWE,A:1-369,Q8RSQ2,1-369,8090342.0,5HWE,A:252-369,Q8RSQ2,252-369,"TP=1,CL=1000003,CF=2001065,SF=3001733,FA=4004437",1.0,1000003.0,2001065.0,3001733.0,4004437.0
8060231.0,5HY4,D:14-387,E3JD18,14-387,8090343.0,5HY4,D:14-117,E3JD18,14-117,"TP=1,CL=1000003,CF=2001065,SF=3001733,FA=4004437",1.0,1000003.0,2001065.0,3001733.0,4004437.0
8060231.0,5HY4,D:14-387,E3JD18,14-387,8090344.0,5HY4,D:125-269,E3JD18,125-269,"TP=1,CL=1000003,CF=2001065,SF=3001733,FA=4004437",1.0,1000003.0,2001065.0,3001733.0,4004437.0
8060231.0,5HY4,D:14-387,E3JD18,14-387,8090345.0,5HY4,D:273-387,E3JD18,273-387,"TP=1,CL=1000003,CF=2001065,SF=3001733,FA=4004437",1.0,1000003.0,2001065.0,3001733.0,4004437.0
8095254.0,6L8P,C:2-125,A0A2N5LLK3,2-125,8095255.0,6L8P,C:2-125,A0A2N5LLK3,2-125,"TP=1,CL=1000003,CF=2001065,SF=3001733,FA=4001510",1.0,1000003.0,2001065.0,3001733.0,4001510.0
8096541.0,6TCC,A:2-135,A0A1S3KNQ3,2-135,8096542.0,6TCC,A:2-135,A0A1S3KNQ3,2-135,"TP=1,CL=1000003,CF=2001065,SF=3001733,FA=4001510",1.0,1000003.0,2001065.0,3001733.0,4001510.0
8096787.0,3VCZ,A:2-128,A0A3Q0L3N0,2-128,8096788.0,3VCZ,A:2-128,A0A3Q0L3N0,2-128,"TP=1,CL=1000003,CF=2001065,SF=3001733,FA=4001510",1.0,1000003.0,2001065.0,3001733.0,4001510.0
8097353.0,6TCD,D:1-131,C0H8I4,1-131,8097354.0,6TCD,D:1-131,C0H8I4,1-131,"TP=1,CL=1000003,CF=2001065,SF=3001733,FA=4001510",1.0,1000003.0,2001065.0,3001733.0,4001510.0
8105380.0,7KGC,A:1-124,A2DAL5,1-124,8105381.0,7KGC,A:1-124,A2DAL5,1-124,"TP=1,CL=1000003,CF=2001065,SF=3001733,FA=4001510",1.0,1000003.0,2001065.0,3001733.0,4001510.0
8024674.0,2AIB,A:1-98,P15569,1-98,8037053.0,2AIB,A:1-98,P15569,1-98,"TP=1,CL=1000000,CF=2001064,SF=3001734,FA=4001509",1.0,1000000.0,2001064.0,3001734.0,4001509.0
8026689.0,1BEO,A:1-98,P15570,21-118,8039068.0,1BEO,A:1-98,P15570,21-118,"TP=1,CL=1000000,CF=2001064,SF=3001734,FA=4001509",1.0,1000000.0,2001064.0,3001734.0,4001509.0
8077720.0,2POS,A:1-94,D0VWX7,1-94,8077721.0,2POS,A:1-94,D0VWX7,1-94,"TP=1,CL=1000000,CF=2001064,SF=3001734,FA=4001509",1.0,1000000.0,2001064.0,3001734.0,4001509.0
8020771.0,1VCS,A:8-96,O89116,6-94,8033151.0,1VCS,A:8-96,O89116,6-94,"TP=1,CL=1000000,CF=2000094,SF=3000366,FA=4000986",1.0,1000000.0,2000094.0,3000366.0,4000986.0
