FA-DOMID,FA-PDBID,FA-PDBREG,FA-UNIID,FA-UNIREG,SF-DOMID,SF-PDBID,SF-PDBREG,SF-UNIID,SF-UNIREG,SCOPCLA,TP,CL,CF,SF,FA,len,counts
8072903.0,3EQZ,A:3-125,Q483U6,3-125,8072904.0,3EQZ,A:3-125,Q483U6,3-125,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,123.0,151
8028257.0,1U0S,Y:2-119,Q56312,2-119,8040636.0,1U0S,Y:2-119,Q56312,2-119,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,118.0,151
8072843.0,3EUL,C:8-127,P9WGM5,8-127,8072844.0,3EUL,C:8-127,P9WGM5,8-127,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,120.0,151
8031670.0,1A2O,A:1-140,P04042,1-140,8044048.0,1A2O,A:1-140,P04042,1-140,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,140.0,151
8025734.0,1PEY,A:3-121,P06628,3-121,8038113.0,1PEY,A:3-121,P06628,3-121,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,119.0,151
8023314.0,1ZES,A:3-123,P0AFJ5,3-123,8035694.0,1ZES,A:3-123,P0AFJ5,3-123,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,121.0,151
8074354.0,5KBX,B:503-647,Q07084,503-647,8074355.0,5KBX,B:503-647,Q07084,503-647,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,127.0,151
8072853.0,3HV2,B:11-135,Q4K707,11-135,8072854.0,3HV2,B:11-135,Q4K707,11-135,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,125.0,151
8024696.0,1NY5,A:1-137,O67198,1-137,8037075.0,1NY5,A:1-137,O67198,1-137,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,137.0,151
8075474.0,2MSW,A:5-125,Q2N9L8,1-121,8075475.0,2MSW,A:5-125,Q2N9L8,1-121,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,121.0,151
8083886.0,3RQI,A:3-138,Q3JXA5,3-138,8083887.0,3RQI,A:3-117,Q3JXA5,3-117,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,169.0,151
8077428.0,2LPM,A:4-123,Q930Y6,1-120,8077429.0,2LPM,A:4-123,Q930Y6,1-120,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,120.0,151
8021315.0,1XHF,A:2-122,P0A9Q1,2-122,8033695.0,1XHF,A:2-122,P0A9Q1,2-122,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,117.0,151
8097261.0,6SWF,A:3-130,B3EYL7,3-130,8097262.0,6SWF,A:3-130,B3EYL7,3-130,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,123.0,151
8072825.0,3GT7,A:11-148,Q2LQE8,11-148,8072826.0,3GT7,A:11-148,Q2LQE8,11-148,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,132.0,151
8072891.0,5TE9,A:8-146,B2JH95,8-146,8072892.0,5TE9,A:8-136,B2JH95,8-136,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,137.0,151
8075476.0,2J48,A:627-745,Q9KHI5,627-745,8075477.0,2J48,A:627-745,Q9KHI5,627-745,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,119.0,151
8096607.0,5LWK,A:1-122,A0A247D6V8,1-122,8096608.0,5LWK,A:1-122,A0A247D6V8,1-122,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,122.0,151
8104014.0,6XVU,D:7-147,Q9RZA5,7-147,8104015.0,6XVU,D:7-147,Q9RZA5,7-147,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,141.0,151
8031663.0,1DBW,A:1-123,P10958,1-123,8044041.0,1DBW,A:1-123,P10958,1-123,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,123.0,151
8076228.0,5IC5,A:1-152,F5Y2U8,1-152,8076229.0,5IC5,A:1-132,F5Y2U8,1-132,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,152.0,151
8103049.0,7E90,A:1-116,Q87HP4,1-116,8103050.0,7E90,A:1-116,Q87HP4,1-116,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,116.0,151
8022184.0,1YIO,A:3-130,O30989,3-130,8034564.0,1YIO,A:3-130,O30989,3-130,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,128.0,151
8072791.0,3A0R,B:1-116,Q9X181,1-116,8072792.0,3A0R,B:1-116,Q9X181,1-116,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,113.0,151
8072815.0,4D6Y,A:4-124,Q2YPW6,4-124,8072816.0,4D6Y,A:4-124,Q2YPW6,4-124,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,121.0,151
8094828.0,6IFH,A:1-119,A0A4V8GZZ1,1-119,8094829.0,6IFH,A:1-119,A0A4V8GZZ1,1-119,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,119.0,151
8031657.0,1A04,A:5-142,P0AF28,5-142,8044035.0,1A04,A:5-142,P0AF28,5-142,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,138.0,151
8072813.0,3CG4,A:4-129,Q2FQ04,4-129,8072814.0,3CG4,A:4-129,Q2FQ04,4-129,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,119.0,151
8072795.0,4HNR,A:1-119,Q6BBK6,7-125,8072796.0,4HNR,A:1-119,Q6BBK6,7-125,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,119.0,151
8096609.0,5LWL,B:2-121,A0A247D6V9,3-122,8096610.0,5LWL,B:2-121,A0A247D6V9,3-122,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,120.0,151
8023408.0,2PL1,A:1-119,P23836,1-119,8035788.0,2PL1,A:1-119,P23836,1-119,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,115.0,151
8030843.0,1W25,A:2-140,B8GZM2,2-140,8043222.0,1W25,A:2-140,B8GZM2,2-140,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,139.0,151
8072819.0,3HDG,B:7-130,Q7MRH8,7-130,8072820.0,3HDG,B:7-130,Q7MRH8,7-130,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,118.0,151
8026920.0,1S8N,A:11-200,P9WGM3,11-200,8039299.0,1S8N,A:11-200,P9WGM3,11-200,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,190.0,151
8096731.0,6VBF,A:6-125,A0A380UY17,6-125,8096732.0,6VBF,A:6-125,A0A380UY17,6-125,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,116.0,151
8072827.0,3CNB,C:65-187,Q47UF8,65-187,8072828.0,3CNB,C:65-187,Q47UF8,65-187,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,123.0,151
8072829.0,3C3M,A:3-123,A3CS79,2-122,8072830.0,3C3M,A:3-123,A3CS79,2-122,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,115.0,151
8101702.0,4MLD,D:1-133,Q8DMW5,1-133,8101703.0,4MLD,D:1-133,Q8DMW5,1-133,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,133.0,151
8023280.0,1ZH2,A:2-120,P21866,2-120,8035660.0,1ZH2,A:2-120,P21866,2-120,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,119.0,151
8074344.0,2QZJ,A:4-124,Q180B0,2-122,8074345.0,2QZJ,A:4-124,Q180B0,2-122,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,119.0,151
8023786.0,1KRW,A:1-124,P41789,1-124,8036166.0,1KRW,A:1-124,P41789,1-124,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,124.0,151
8072811.0,5XJP,A:10-130,Q6TA00,10-130,8072812.0,5XJP,A:10-130,Q6TA00,10-130,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,119.0,151
8028706.0,2FKA,A:2-129,P0A2D5,2-129,8041085.0,2FKA,A:2-129,P0A2D5,2-129,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,128.0,151
8072883.0,4EUK,A:776-922,Q3S4A7,776-922,8072884.0,4EUK,A:776-922,Q3S4A7,776-922,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0,136.0,151
