FA-DOMID,FA-PDBID,FA-PDBREG,FA-UNIID,FA-UNIREG,SF-DOMID,SF-PDBID,SF-PDBREG,SF-UNIID,SF-UNIREG,SCOPCLA,TP,CL,CF,SF,FA,len
8093121.0,3IYO,D:118-459,Q1AHV0,118-459,8093123.0,3IYO,D:318-446,Q1AHV0,318-446,"TP=1,CL=1000001,CF=2000073,SF=3002535,FA=4007793",1.0,1000001.0,2000073.0,3002535.0,4007793.0,335.0
8021022.0,1XBP,G:72-143,Q9RSS7,72-143,8033402.0,1XBP,G:72-143,Q9RSS7,72-143,"TP=1,CL=1000000,CF=2000000,SF=3001186,FA=4000731",1.0,1000000.0,2000000.0,3001186.0,4000731.0,72.0
8097769.0,6J45,P:1-168,F4VJS7,2-169,8097770.0,6J45,P:1-168,F4VJS7,2-169,"TP=1,CL=1000003,CF=2000761,SF=3001229,FA=4002432",1.0,1000003.0,2000761.0,3001229.0,4002432.0,168.0
8050829.0,5LQW,M:31-235,P28004,31-235,8092739.0,5LQW,M:31-235,P28004,31-235,"TP=4,CL=1000000,CF=2001080,SF=3002618,FA=4007068",4.0,1000000.0,2001080.0,3002618.0,4007068.0,169.0
8092886.0,6EMW,f:1-90,Q2G1U5,1-90,8092887.0,6EMW,f:1-90,Q2G1U5,1-90,"TP=1,CL=1000003,CF=2000470,SF=3002638,FA=4007784",1.0,1000003.0,2000470.0,3002638.0,4007784.0,90.0
8026147.0,2ZJR,1:2-54,Q9RSS4,2-54,8038526.0,2ZJR,1:2-54,Q9RSS4,2-54,"TP=1,CL=1000004,CF=2000112,SF=3001320,FA=4000511",1.0,1000004.0,2000112.0,3001320.0,4000511.0,53.0
8075057.0,2FTC,P:9-60,Q3SZ47,9-60,8075058.0,2FTC,P:9-60,Q3SZ47,9-60,"TP=1,CL=1000004,CF=2000112,SF=3001320,FA=4000511",1.0,1000004.0,2000112.0,3001320.0,4000511.0,52.0
8050973.0,3IYO,D:460-606,Q1AHV0,460-606,8093120.0,3IYO,D:460-606,Q1AHV0,460-606,"TP=1,CL=1000001,CF=2000654,SF=3002678,FA=4007137",1.0,1000001.0,2000654.0,3002678.0,4007137.0,126.0
8029588.0,1A1D,A:1-146,P20436,1-146,8041967.0,1A1D,A:1-61,P20436,1-61,"TP=1,CL=1000001,CF=2001561,SF=3002702,FA=4001942",1.0,1000001.0,2001561.0,3002702.0,4001942.0,146.0
8029588.0,1A1D,A:1-146,P20436,1-146,8093392.0,1A1D,A:94-146,P20436,94-146,"TP=1,CL=1000001,CF=2001561,SF=3002702,FA=4001942",1.0,1000001.0,2001561.0,3002702.0,4001942.0,146.0
8045220.0,5KHR,C:26-500,Q9UJX2,26-500,8057064.0,5KHR,C:76-500,Q9UJX2,76-500,"TP=1,CL=1000000,CF=2000085,SF=3001345,FA=4004359",1.0,1000000.0,2000085.0,3001345.0,4004359.0,468.0
8057794.0,1LEP,A:1-92,P24301,2-100,8057795.0,1LEP,A:1-92,P24301,2-100,"TP=1,CL=1000001,CF=2000001,SF=3000002,FA=4000251",1.0,1000001.0,2000001.0,3000002.0,4000251.0,81.0
8020535.0,2AT2,A:1-144,P05654,1-144,8032915.0,2AT2,A:1-144,P05654,1-144,"TP=1,CL=1000002,CF=2000848,SF=3001396,FA=4000794",1.0,1000002.0,2000848.0,3001396.0,4000794.0,144.0
8020536.0,2AT2,A:145-295,P05654,145-295,8032916.0,2AT2,A:145-295,P05654,145-295,"TP=1,CL=1000002,CF=2000848,SF=3001396,FA=4000794",1.0,1000002.0,2000848.0,3001396.0,4000794.0,151.0
8097585.0,3IYX,M:1-114,D3QTD7,2-115,8097586.0,3IYX,M:1-114,D3QTD7,2-115,"TP=1,CL=1000000,CF=2000033,SF=3000053,FA=4000260",1.0,1000000.0,2000033.0,3000053.0,4000260.0,114.0
8054982.0,2B6B,A:298-394,Q9WDA7,578-674,8054983.0,2B6B,A:298-394,Q9WDA7,578-674,"TP=1,CL=1000001,CF=2000051,SF=3000070,FA=4007569",1.0,1000001.0,2000051.0,3000070.0,4007569.0,97.0
8054454.0,2RCJ,A:1-116,2RCJ_A,1-116,8054455.0,2RCJ,A:1-116,2RCJ_A,1-116,"TP=1,CL=1000001,CF=2000051,SF=3000071,FA=4007744",1.0,1000001.0,2000051.0,3000071.0,4007744.0,116.0
8055392.0,2RCJ,A:120-218,Q6PYX1,20-118,8055393.0,2RCJ,A:120-218,Q6PYX1,20-118,"TP=1,CL=1000001,CF=2000051,SF=3000071,FA=4007745",1.0,1000001.0,2000051.0,3000071.0,4007745.0,99.0
8020967.0,1HPB,P:1-238,P02910,23-260,8033347.0,1HPB,P:1-238,P02910,23-260,"TP=1,CL=1000002,CF=2000060,SF=3000083,FA=4000229",1.0,1000002.0,2000060.0,3000083.0,4000229.0,238.0
8022869.0,1MLI,A:1-96,P00948,1-96,8035249.0,1MLI,A:1-96,P00948,1-96,"TP=1,CL=1000003,CF=2000014,SF=3000089,FA=4001252",1.0,1000003.0,2000014.0,3000089.0,4001252.0,96.0
8020216.0,1TIC,A:5-269,P61872,128-392,8032596.0,1TIC,A:5-269,P61872,128-392,"TP=1,CL=1000002,CF=2000076,SF=3000102,FA=4000732",1.0,1000002.0,2000076.0,3000102.0,4000732.0,265.0
8101316.0,7CW0,F:111-261,Q8JUX5,111-261,8101317.0,7CW0,F:111-261,Q8JUX5,111-261,"TP=1,CL=1000001,CF=2000083,SF=3000114,FA=4002263",1.0,1000001.0,2000083.0,3000114.0,4002263.0,151.0
8021400.0,1I96,V:83-168,Q5SKU2,83-168,8033780.0,1I96,V:83-168,Q5SKU2,83-168,"TP=1,CL=1000003,CF=2000950,SF=3001514,FA=4001411",1.0,1000003.0,2000950.0,3001514.0,4001411.0,86.0
8046847.0,2XYZ,B:1-425,P26747,1-425,8054154.0,2XYZ,B:1-425,P26747,1-425,"TP=1,CL=1000003,CF=2000939,SF=3001529,FA=4005326",1.0,1000003.0,2000939.0,3001529.0,4005326.0,425.0
8026468.0,1F1O,A:9-416,P12047,9-416,8038847.0,1F1O,A:9-416,P12047,9-416,"TP=1,CL=1000000,CF=2000963,SF=3001572,FA=4001433",1.0,1000000.0,2000963.0,3001572.0,4001433.0,351.0
8055449.0,2B6B,A:1-297,Q9WDA7,281-577,8055450.0,2B6B,A:1-297,Q9WDA7,281-577,"TP=2,CL=1000001,CF=2000238,SF=3000293,FA=4003128",2.0,1000001.0,2000238.0,3000293.0,4003128.0,292.0
8025765.0,1PJF,A:1-46,P03621,37-82,8038144.0,1PJF,A:1-46,P03621,37-82,"TP=3,CL=1000000,CF=2000962,SF=3001666,FA=4003852",3.0,1000000.0,2000962.0,3001666.0,4003852.0,46.0
8030468.0,2MAD,H:6-371,P23006,58-423,8042847.0,2MAD,H:6-371,P23006,58-423,"TP=1,CL=1000001,CF=2001013,SF=3001671,FA=4002731",1.0,1000001.0,2001013.0,3001671.0,4002731.0,366.0
8082520.0,2FTC,N:59-154,Q3SYS0,59-154,8082521.0,2FTC,N:59-154,Q3SYS0,59-154,"TP=1,CL=1000001,CF=2000090,SF=3000334,FA=4001752",1.0,1000001.0,2000090.0,3000334.0,4001752.0,96.0
8044841.0,5LQW,X:56-1331,Q04693,56-1331,8051196.0,5LQW,X:69-482,Q04693,69-482,"TP=1,CL=1000001,CF=2001013,SF=3001694,FA=4004169",1.0,1000001.0,2001013.0,3001694.0,4004169.0,1095.0
8044841.0,5LQW,X:56-1331,Q04693,56-1331,8052528.0,5LQW,"X:483-516,X:855-1205",Q04693,"483-516,855-1205","TP=1,CL=1000001,CF=2001013,SF=3001694,FA=4004169",1.0,1000001.0,2001013.0,3001694.0,4004169.0,1095.0
8044841.0,5LQW,X:56-1331,Q04693,56-1331,8052529.0,5LQW,X:517-854,Q04693,517-854,"TP=1,CL=1000001,CF=2001013,SF=3001694,FA=4004169",1.0,1000001.0,2001013.0,3001694.0,4004169.0,1095.0
8100349.0,6YW7,C:1-370,Q92747,1-370,8100350.0,6YW7,C:1-370,Q92747,1-370,"TP=1,CL=1000001,CF=2001013,SF=3001694,FA=4002744",1.0,1000001.0,2001013.0,3001694.0,4002744.0,348.0
8070570.0,1NKW,F:1-52,Q9RY49,1-52,8070571.0,1NKW,F:1-52,Q9RY49,1-52,"TP=1,CL=1000003,CF=2000265,SF=3000338,FA=4001757",1.0,1000003.0,2000265.0,3000338.0,4001757.0,52.0
8024716.0,1HMC,A:4-149,P09603,36-181,8037095.0,1HMC,A:4-149,P09603,36-181,"TP=1,CL=1000000,CF=2001054,SF=3001717,FA=4000852",1.0,1000000.0,2001054.0,3001717.0,4000852.0,146.0
8024763.0,2RIG,A:1-119,P30123,24-142,8037142.0,2RIG,A:1-119,P30123,24-142,"TP=1,CL=1000000,CF=2001054,SF=3001717,FA=4000854",1.0,1000000.0,2001054.0,3001717.0,4000854.0,119.0
8023557.0,1HMJ,A:10-77,Q58443,10-77,8035937.0,1HMJ,A:10-77,Q58443,10-77,"TP=1,CL=1000003,CF=2001058,SF=3001722,FA=4001502",1.0,1000003.0,2001058.0,3001722.0,4001502.0,68.0
8063973.0,4ADX,6:8-103,P0DJ59,8-103,8063974.0,4ADX,6:8-103,P0DJ59,8-103,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0,96.0
8030583.0,1PCL,A:1-355,P04960,31-385,8042962.0,1PCL,A:1-355,P04960,31-385,"TP=1,CL=1000001,CF=2000062,SF=3001746,FA=4002788",1.0,1000001.0,2000062.0,3001746.0,4002788.0,355.0
8052124.0,5FMW,F:484-523,P02748,505-544,8052125.0,5FMW,F:484-523,P02748,505-544,"TP=1,CL=1000004,CF=2000181,SF=3000412,FA=4007581",1.0,1000004.0,2000181.0,3000412.0,4007581.0,40.0
8063441.0,3JCR,6:7-76,P62312,7-76,8063442.0,3JCR,6:7-76,P62312,7-76,"TP=1,CL=1000001,CF=2000308,SF=3000419,FA=4001809",1.0,1000001.0,2000308.0,3000419.0,4001809.0,70.0
8063451.0,3PGW,I:2-75,P62306,2-75,8063452.0,3PGW,I:2-75,P62306,2-75,"TP=1,CL=1000001,CF=2000308,SF=3000419,FA=4001809",1.0,1000001.0,2000308.0,3000419.0,4001809.0,74.0
8063455.0,3JCR,3:16-98,P62310,16-98,8063456.0,3JCR,3:16-98,P62310,16-98,"TP=1,CL=1000001,CF=2000308,SF=3000419,FA=4001809",1.0,1000001.0,2000308.0,3000419.0,4001809.0,83.0
8063465.0,3JCR,7:11-89,Q9UK45,11-89,8063466.0,3JCR,7:11-89,Q9UK45,11-89,"TP=1,CL=1000001,CF=2000308,SF=3000419,FA=4001809",1.0,1000001.0,2000308.0,3000419.0,4001809.0,79.0
8063471.0,3JCR,5:10-85,Q9Y4Y9,10-85,8063472.0,3JCR,5:10-85,Q9Y4Y9,10-85,"TP=1,CL=1000001,CF=2000308,SF=3000419,FA=4001809",1.0,1000001.0,2000308.0,3000419.0,4001809.0,76.0
8063475.0,3PGW,H:1-89,P62304,1-89,8063476.0,3PGW,H:1-89,P62304,1-89,"TP=1,CL=1000001,CF=2000308,SF=3000419,FA=4001809",1.0,1000001.0,2000308.0,3000419.0,4001809.0,89.0
8063487.0,3JCR,4:1-80,Q9Y4Z0,1-80,8063488.0,3JCR,4:1-80,Q9Y4Z0,1-80,"TP=1,CL=1000001,CF=2000308,SF=3000419,FA=4001809",1.0,1000001.0,2000308.0,3000419.0,4001809.0,80.0
8063491.0,3JCR,8:4-73,O95777,4-73,8063492.0,3JCR,8:4-73,O95777,4-73,"TP=1,CL=1000001,CF=2000308,SF=3000419,FA=4001809",1.0,1000001.0,2000308.0,3000419.0,4001809.0,70.0
8077063.0,4ARG,B:135-203,I6L8L4,1-69,8077064.0,4ARG,B:135-203,I6L8L4,1-69,"TP=1,CL=1000000,CF=2001104,SF=3001819,FA=4000865",1.0,1000000.0,2001104.0,3001819.0,4000865.0,69.0
8026005.0,3HTC,I:1-65,P09945,8-72,8038384.0,3HTC,I:1-65,P09945,8-72,"TP=1,CL=1000004,CF=2000181,SF=3000489,FA=4003252",1.0,1000004.0,2000181.0,3000489.0,4003252.0,65.0
